usage_id,user_email,dataset_uuid,project_name,project_category,usage_date
1,tgreen@gmail.com,dca0300f-ec77-4233-95ce-f7556a7a57f7,Digital Divide Analysis,analytics,2021-05-07
2,jennifer_894@outlook.com,be55ae87-0386-456e-a263-210fbc7d9bdf,Population Growth Forecast,field research,2023-07-17
3,edwardjon@edu.com,92e346dc-034e-47cf-96cc-61635f4b7154,Economic Forecasting Model,field research,2023-03-13
4,emitchell@edu.com,62b712f3-2fab-4bc7-8738-ea0d82bf589d,Social Mobility Research,analytics,2021-10-26
5,donna_264@gmail.com,2164625c-e9b6-473c-af91-cf80bad1844e,Renewable Energy Mapping,field research,2023-09-11
6,tgreen@gmail.com,fb5316ef-365e-4e10-8b59-da027c26038a,Climate Impact Analysis,machine learning,2020-01-12
7,donna_264@gmail.com,174236e3-85a6-447f-9e85-83ee9057a803,Infrastructure Assessment,analytics,2024-05-05
8,gjackson@protonmail.com,b289c364-500f-40cf-a471-753de6e947c4,Budget Optimization,machine learning,2022-05-28
9,plee@edu.com,8666dcbf-9180-44c2-b6a8-8b01332af4ba,Water Quality Monitoring,analytics,2024-07-20
10,emily.rivera@gmail.com,d6fc3369-ef8f-4c5f-82f2-dc16d84d48d7,Education Gap Research,machine learning,2020-03-28
11,nancyram@hotmail.com,69e256b5-f7af-452c-aa5c-2047f8324b35,Water Quality Monitoring,machine learning,2022-09-03
12,esmith@gmail.com,aaef7cb8-4050-4ce5-be06-bdb6559ad6a0,Disaster Resilience Planning,machine learning,2022-05-23
13,richard.roberts@gmail.com,04ac7e69-fb53-4c00-8f94-94813408c634,Population Growth Forecast,analytics,2021-12-31
14,sarah_607@edu.com,a0a903f3-cf07-4a02-967e-2121078df2be,Transportation Network Analysis,analytics,2022-12-21
15,jamessmi@icloud.com,6a178165-27ac-47ee-8bde-484fb90716db,Housing Affordability,field research,2020-10-28
16,richard.roberts@gmail.com,c14ecae9-72b7-46d0-abf7-80d3f9b383e6,Fraud Detection System,analytics,2023-03-01
17,margaretlew@yahoo.com,8cbb2bcd-dc65-4f1a-b377-56d161f6573c,Public Health Dashboard,field research,2024-06-20
18,mbaker@protonmail.com,d5a16f46-971e-4c82-b644-fc92c9e616c5,Energy Efficiency Audit,machine learning,2022-08-08
19,emily.rivera@gmail.com,cc54a24c-655f-4627-b101-fcf3868cda18,Biodiversity Survey,field research,2022-08-13
20,donaldmar@edu.com,ee21c7e6-7277-4efa-9664-074ef8ac49f9,Population Growth Forecast,field research,2022-03-22
21,john.lee@icloud.com,27f6cdf5-bb47-4407-a26c-bbaf7083ea58,Climate Impact Analysis,field research,2022-11-04
22,mark_829@hotmail.com,f007a19d-f307-4d4c-aed4-d28c57dcaf29,Fraud Detection System,field research,2024-08-25
23,jmartinez@hotmail.com,c07ccff2-e1d7-4cab-a82a-c5b890d5859e,Environmental Compliance,machine learning,2022-07-31
24,kimberly_520@yahoo.com,d408c346-993a-4a3e-904e-2af0278b02bd,Air Quality Index Tracker,analytics,2022-11-01
25,stephanie_259@university.edu,acb47e87-b576-4b99-882b-22c061a4c14f,Public Health Dashboard,machine learning,2023-01-20
26,pjones@hotmail.com,f79d2e0e-d1eb-4763-ba39-b219a9e8810c,Climate Impact Analysis,analytics,2022-02-13
27,brian.anderson@university.edu,1814fb29-e358-4f42-aecf-2b45edac4fb5,Fraud Detection System,machine learning,2024-10-14
28,edward.green@outlook.com,90d1e929-6e80-422c-a977-1f9e3d97741b,Customer Behavior Model,field research,2020-05-09
29,kenneth.walker@protonmail.com,c16897cf-e030-43a3-aca2-2c257225ba21,Food Security Assessment,analytics,2021-09-30
30,dgarcia@yahoo.com,39a9aa76-cef1-4cfd-a545-4b551a54236b,Energy Efficiency Audit,machine learning,2020-12-17
31,gjackson@protonmail.com,3db016d1-1c9c-4ab3-ab58-2befe032a18b,Voter Turnout Study,machine learning,2021-10-22
32,jenniferlee@yahoo.com,38d28af6-5b6c-4b4f-8aa7-8a54990c052b,Climate Impact Analysis,machine learning,2023-01-23
33,brian.anderson@university.edu,1b1cc182-4b2d-4169-ac6b-3c642a4c58d3,Air Quality Index Tracker,machine learning,2023-05-07
34,christopher.rivera@university.edu,0793cafa-1513-41d4-8015-c6428356e7e0,Biodiversity Survey,machine learning,2020-07-25
